Episode,Average Distance
2244,116.97379255062668
2245,172.50361969377227
2246,103.95689876167292
2247,154.49495225714813
2248,86.95661809847259
2249,125.3863095772884
2250,116.27834419281837
2251,102.7197568894795
2252,113.40474299146086
2253,142.09177040832836
2254,115.98429892876115
2255,114.80394279700138
2256,102.7945190166195
2257,99.31390709494362
2258,137.57222323509475
2259,128.91874453337536
2260,128.1778747062496
2261,91.47957536060295
2262,162.7427442660919
2263,87.57651861763664
2264,112.76480882806128
2265,124.12956999362386
2266,119.95267145218956
2267,126.29482978976667
2268,124.45139244220847
2269,154.77475809786296
2270,165.5858704958714
2271,109.34773920641267
2272,115.11926428550136
2273,88.8409336276839
2274,101.39774975496003
2275,102.08692342679527
2276,169.54365476520857
2277,173.46511670528125
2278,156.81053209635476
2279,119.3241990481461
2280,94.74423263105885
2281,95.33020817460377
2282,126.48204773291805
2283,99.97299533341219
2284,136.93943825784135
2285,133.97101072282132
2286,84.23884987314469
2287,136.04657891528817
2288,76.32705807429934
2289,113.49306236979031
2290,126.05020074125962
2291,113.83651602536081
2292,193.8544743223517
2293,106.2431681200073
2294,138.20670231278578
2295,133.85374547564876
2296,122.45708012962807
2297,90.5504598220373
2298,125.43728681395865
2299,86.51068045954196
2300,91.04154302942638
2301,122.44389857398777
2302,102.69352689285145
2303,115.2034281855261
2304,100.28365509335842
2305,112.38360163470935
2306,93.04323998275979
2307,174.37183982360827
2308,124.75394999120991
2309,124.10211461109382
2310,142.5693625879927
2311,118.33282607784882
2312,127.56161050297561
2313,143.45555952881483
2314,122.27656406434849
2315,128.15449832562032
2316,107.27246272715975
2317,137.79785305906077
2318,125.12023296904988
2319,107.65861683276299
2320,135.8279828381803
2321,101.96072438668796
2322,119.34192890521318
2323,121.47960186369122
2324,144.31844395974278
2325,184.05082901446562
2326,84.19286939690096
2327,115.18428240890513
2328,97.76616021394821
2329,169.17032499710086
2330,115.35606185177772
2331,143.29783871344875
2332,90.9116979740594
2333,128.72291052295174
2334,127.22314778501237
2335,95.36464118571513
2336,163.4582730449808
2337,83.82327792522241
2338,153.09769125359068
2339,168.41594033677035
